title,salary,city,raw_text
数据分析师,15-30K,北京·海淀区·上地,"数据分析师
-K·薪
1-3年
本科
作业帮
北京·海淀区·上地"
数据分析师,8-13K,北京,"数据分析师
-K
3-5年
大专
中兵数字科技
北京"
数据分析师,30-50K,北京,"数据分析师
-K·薪
3-5年
本科
某大型社交网络与媒体上市公司
北京"
数据分析师,40-70K,北京,"数据分析师
-K·薪
5-10年
本科
阿里巴巴集团
北京"
数据分析师,12-24K,未知,"数据分析师
-K
1-3年
本科
德特赛维
北京·西城区·西直门"
数据分析师,15-30K,未知,"数据分析师
-K·薪
1-3年
本科
海底捞
北京·朝阳区·花家地"
财税数据分析师,8-10K,北京·怀柔区·庙城,"财税数据分析师
-K
1-3年
本科
灵数科技
北京·怀柔区·庙城"
信贷数据分析师-汽车金融类,15-20K,北京·朝阳区·双井,"信贷数据分析师-汽车金融类
-K
3-5年
本科
江苏银美数字科技
北京·朝阳区·双井"
数据分析师,15-30K,北京·通州区·次渠,"数据分析师
-K
5-10年
本科
长城汽车
北京·通州区·次渠"
数据分析师,7-10K,北京·朝阳区·望京,"数据分析师
-K·薪
3-5年
本科
两比特(北京)科...
北京·朝阳区·望京"
数据分析师（人民币方向）,10-15K,未知,"数据分析师（人民币方向）
-K
3-5年
本科
意讯无限
北京·朝阳区·亚运村"
数据分析师,9-11K,北京,"数据分析师
-K
3-5年
本科
博睿同信
北京"
数据分析师,24-35K,未知,"数据分析师
-K·薪
3-5年
本科
百度在线
北京·海淀区·西北旺"
中高级数据分析师,17-18K,北京·顺义区·光明,"中高级数据分析师
-K
3-5年
本科
易诚互动
北京·顺义区·光明"
数据分析师,30-50K,北京·大兴区·亦庄,"数据分析师
-K·薪
5-10年
本科
京东健康
北京·大兴区·亦庄"
数据分析师,20-40K,北京中铁建数智科技,"数据分析师
-K
5-10年
本科
北京中铁建数智科技
北京·石景山区·鲁谷"
外包数据分析师,7-8K,北京,"外包数据分析师
-K
1-3年
本科
百度
北京"
数据分析师,50-80K,北京·房山区·良乡,"数据分析师
-K·薪
3-5年
本科
北京中利博冠网络科技
北京·房山区·良乡"
资深数据分析师,30-60K,北京,"资深数据分析师
-K·薪
3-5年
本科
某大型知名互联网公司
北京"
数据分析师,20-35K,北京,"数据分析师
-K
3-5年
本科
某中型互联网内容平台公司
北京"
数据分析师,25-35K,北京,"数据分析师
-K·薪
3-5年
本科
某知名互联网公司
北京"
数据分析师（居家）,20-40K,北京,"数据分析师（居家）
-K
3-5年
本科
某小型互联网金融公司
北京"
数据分析师(电商),13-23K,北京·朝阳区·管庄,"数据分析师(电商)
-K
3-5年
大专
北京媚可美丽化妆...
北京·朝阳区·管庄"
