title,salary,city,raw_text
电商数据分析师,7-8K,南京巨象家居用品,"电商数据分析师
-K
1-3年
本科
南京巨象家居用品
南京·栖霞区·晓庄"
高级数据分析师,10-15K,南京·浦口区·江浦,"高级数据分析师
-K
1-3年
硕士
亿科人群健康研究院
南京·浦口区·江浦"
数据分析,15-20K,南京,"数据分析
-K
3-5年
本科
京文奥盛
南京"
数据分析师（MJ004049）,10-15K1新,南京·建邺区·西善桥,"数据分析师（MJ004049）
-K·薪
1-3年
本科
火花思维
南京·建邺区·西善桥"
高级数据分析师,15-30K1新,南京凯唱软件有限公司,"高级数据分析师
-K·薪
5-10年
本科
南京凯唱软件有限公司
南京·玄武区·新街口"
SFE 数据分析员,10-13K,南京·玄武区·徐庄软件园,"SFE 数据分析员
-K
1-3年
本科
江苏先声再明医药
南京·玄武区·徐庄软件园"
数据分析师,8-10K,南京新东方,"数据分析师
-K
1-3年
本科
南京新东方
南京·玄武区·丹凤街"
数据分析,12-17K,南京·浦口区·泰山,"数据分析
-K
1-3年
本科
知舟
南京·浦口区·泰山"
股票交易策略分析师,10-15K,南京·江宁区·东山,"股票交易策略分析师
-K
5-10年
本科
启泰安全
南京·江宁区·东山"
外汇分析师,20-40K,南京·栖霞区·尧化,"外汇分析师
-K
3-5年
本科
LOPAL
南京·栖霞区·尧化"
数据分析师（跨境电商）,10-15K,南京·浦口区·泰山,"数据分析师（跨境电商）
-K
3-5年
本科
网一长意
南京·浦口区·泰山"
数据分析师,10-15K,南京·鼓楼区·中央门,"数据分析师
-K
3-5年
本科
豪与杰电子科技
南京·鼓楼区·中央门"
数据分析师(电商)货控方向,7-11K1新,南京·浦口区·弘阳广场,"数据分析师(电商)货控方向
-K·薪
1-3年
本科
候鸟服饰
南京·浦口区·弘阳广场"
数据分析,7-8K,南京·江宁区·东山,"数据分析
-K
1-3年
大专
江宁区青柠家政服...
南京·江宁区·东山"
数据分析师（工作地南京）,15-30K,数据分析师（工作地南京）,"数据分析师（工作地南京）
-K
3-5年
本科
北京中科聚信信息技术
南京·秦淮区·长白街"
数据分析师,9-10K,上海鲤哥咨询管理...,"数据分析师
-K
1-3年
本科
上海鲤哥咨询管理...
南京·建邺区·西善桥"
大数据分析师、创意研究,4-8K,南京·鼓楼区·挹江门,"大数据分析师、创意研究
-K
3-5年
本科
创腾文化传媒
南京·鼓楼区·挹江门"
电芯体系大数据分析,30-45K16薪,南京,"电芯体系大数据分析
-K·薪
1-3年
硕士
某大型知名新能源公司
南京"
数据分析师,8-13K,南京·江宁区·百家湖,"数据分析师
-K
1-3年
本科
拾光宝盒
南京·江宁区·百家湖"
数据分析师,10-15K,南京·鼓楼区·建宁路,"数据分析师
-K
3-5年
本科
金固智慧市政研究院
南京·鼓楼区·建宁路"
网络数据分析工程师,5-8K,南京驿网,"网络数据分析工程师
-K
在校/应届
大专
南京驿网
南京"
数据分析师（直播+短视频方向）,6-10K,南京·江宁区·百家湖,"数据分析师（直播+短视频方向）
-K
1-3年
学历不限
江苏校响文化传媒
南京·江宁区·百家湖"
数据分析,6-11K,南京·浦口区·江浦,"数据分析
-K
1-3年
本科
谊品弘苏科技
南京·浦口区·江浦"
电玩城店长,9-12K,南京·秦淮区·新街口,"电玩城店长
-K
3-5年
大专
合电占娱乐有限公司
南京·秦淮区·新街口"
数据分析师（风控/反欺诈建模）,11-20K,南京·鼓楼区·山西路,"数据分析师（风控/反欺诈建模）
-K
1-3年
本科
车300
南京·鼓楼区·山西路"
数据分析,11-15K,南京德软,"数据分析
-K
1-3年
本科
南京德软
南京·江宁区·东山"
数据分析师,10-15K,北京趋享智能科技...,"数据分析师
-K
1-3年
本科
北京趋享智能科技...
南京·秦淮区·夫子庙"
python数据分析,10-14K,南京·建邺区·奥体,"python数据分析
-K
5-10年
大专
新华三技术有限公司
南京·建邺区·奥体"
数据分析,20-21K,南京,"数据分析
-K
5-10年
本科
某大型广告营销上市公司
南京"
临床数据统计分析师,10-15K1新,南京帝基生物,"临床数据统计分析师
-K·薪
1-3年
硕士
南京帝基生物
南京·浦口区·南京信息工程大学"
数据分析师,15-30K15新,南京,"数据分析师
-K·薪
3-5年
本科
某中型互联网数据服务公司
南京"
数据分析师,15-25K,南京越信,"数据分析师
-K
3-5年
本科
南京越信
南京·建邺区·江东"
数据分析,20-40K,南京·雨花台区·小行,"数据分析
-K
5-10年
本科
荣耀
南京·雨花台区·小行"
数据分析师,68K,南京·栖霞区·尧化,"数据分析师
-K
1-3年
本科
知微孚瑞利
南京·栖霞区·尧化"
大数据分析师,20-40K15新,北京某大型互联网公司,"大数据分析师
-K·薪
3-5年
本科
北京某大型互联网公司
南京"
数据分析师,8-12K,南京·江宁区·东山,"数据分析师
-K
3-5年
本科
食想未来科技
南京·江宁区·东山"
数据分析师,8-13K,北京中路交科交通咨询,"数据分析师
-K
1-3年
本科
北京中路交科交通咨询
南京"
数据分析师,5-7K,广州千朵科技有限公司,"数据分析师
-K
3-5年
本科
广州千朵科技有限公司
南京·雨花台区·安德门"
python/c++架构数据分析师,15-30K14新,南京·浦口区·江浦,"python/c++架构数据分析师
-K·薪
1-3年
硕士
砺算科技
南京·浦口区·江浦"
数据分析师,56K,南京·建邺区·江东,"数据分析师
-K
1-3年
大专
刺豚文化
南京·建邺区·江东"
金融证券分析师,10-15K,南京,"金融证券分析师
-K
3-5年
本科
安徽一分一秒文化传媒
南京"
Python 数据分析师,10-15K,南京基山,"Python 数据分析师
-K
1-3年
本科
南京基山
南京·鼓楼区·山西路"
临床数据分析,20-25K1新,南京,"临床数据分析
-K·薪
1-3年
硕士
某小型生物/制药公司
南京"
数据分析实战开发导师,10-15K1新,南京·秦淮区·苜蓿园,"数据分析实战开发导师
-K·薪
3-5年
本科
苏伦大数据研究院
南京·秦淮区·苜蓿园"
数据分析师,10-15K,南京学思信息,"数据分析师
-K
1-3年
硕士
南京学思信息
南京"
数据分析工程师,11-20K,南京·雨花台区·南京南站,"数据分析工程师
-K
3-5年
本科
索帕新能源
南京·雨花台区·南京南站"
数据分析师（南京）,12-15K,数据分析师（南京）,"数据分析师（南京）
-K
3-5年
本科
佰聆数据
南京·建邺区·江东"
数据分析师,10-15K,杭州数空科技有限公司,"数据分析师
-K
1-3年
本科
杭州数空科技有限公司
南京·建邺区·奥体"
大气数据分析师,7-10K,南京·玄武区·卫岗,"大气数据分析师
-K
1-3年
本科
江苏南理
南京·玄武区·卫岗"
营销数据分析师,6-8K,南京·玄武区·徐庄软件园,"营销数据分析师
-K
1-3年
本科
先声药业
南京·玄武区·徐庄软件园"
数据分析师(电商),8-10K1新,南京暖福赢网络科技,"数据分析师(电商)
-K·薪
1-3年
本科
南京暖福赢网络科技
南京·江宁区·东山"
数据分析师,18-30K,南京宜开数据分析,"数据分析师
-K
5-10年
硕士
南京宜开数据分析
南京·江宁区·秣陵"
数据分析,20-40K,南京·江宁区·开发区,"数据分析
-K
5-10年
本科
汉资餐饮
南京·江宁区·开发区"
电商数据分析经理,68K,南京悟空供应链信...,"电商数据分析经理
-K
1-3年
学历不限
南京悟空供应链信...
南京·江宁区·竹山路沿线"
数据分析专家,25-40K,南京博润蓝军网络科技,"数据分析专家
-K
5-10年
本科
南京博润蓝军网络科技
南京·玄武区·红山"
数据分析师,8-10K,南京·江宁区·东山,"数据分析师
-K
1-3年
本科
利峰时代科技
南京·江宁区·东山"
数据分析师,15-18K,南京华美美容医院,"数据分析师
-K
3-5年
本科
南京华美美容医院
南京·玄武区·新街口"
数据分析师,1117K,南京·江宁区·江宁滨江,"数据分析师
-K
3-5年
本科
数洋智慧
南京·江宁区·江宁滨江"
数据分析,5-7K14新,南京·江宁区·东山,"数据分析
-K·薪
1-3年
本科
苏州聚运行科技
南京·江宁区·东山"
商品规划（数据分析）,20-25K,南京,"商品规划（数据分析）
-K
5-10年
本科
某大型文化艺术公司
南京"
数据分析师,4-5K,南京期望值科技,"数据分析师
-K
1-3年
大专
南京期望值科技
南京·玄武区·孝陵卫"
远程金融数据策略分析师（数字游民）,10-12K,武汉市东泽珩网络...,"远程金融数据策略分析师（数字游民）
-K
1-3年
本科
武汉市东泽珩网络...
南京·浦口区·江浦"
数据分析师,4-6K,南京,"数据分析师
-K
1-3年
本科
住银所
南京"
数据分析员（财务类）,4-8K,南京·建邺区·奥体,"数据分析员（财务类）
-K
在校/应届
本科
万得
南京·建邺区·奥体"
数据分析师,8-13K,南京·江宁区·南京南站,"数据分析师
-K
1-3年
本科
明树数据
南京·江宁区·南京南站"
数据分析,8-12K14新,南京圣都装饰有限公司,"数据分析
-K·薪
1-3年
本科
南京圣都装饰有限公司
南京·建邺区·江东"
资深数据分析师【消费品行业】,15-20K,南京·江宁区·百家湖,"资深数据分析师【消费品行业】
-K
5-10年
本科
图益
南京·江宁区·百家湖"
数据分析师,8-10K,南京·江宁区·百家湖,"数据分析师
-K
1-3年
本科
兔酱
南京·江宁区·百家湖"
python分析师,12-15K,南京蒜头科技有限公司,"python分析师
-K
3-5年
本科
南京蒜头科技有限公司
南京·秦淮区·红花"
期货分析师,20-25K,南京,"期货分析师
-K
1-3年
硕士
某大型期货公司
南京"
数据分析,10-15K,南京·建邺区·江东,"数据分析
-K
3-5年
本科
良辰美境
南京·建邺区·江东"
数据分析师,13-20K,南京·建邺区·奥体,"数据分析师
-K
3-5年
本科
建邺区轩享逸网络...
南京·建邺区·奥体"
初级数据分析师,4-5K,南京数之信,"初级数据分析师
-K
1-3年
本科
南京数之信
南京·江宁区·秣陵"
数据分析师,6-10K,南京·雨花台区·南京南站,"数据分析师
-K
3-5年
本科
禾蓁
南京·雨花台区·南京南站"
外汇分析师,12-20K,南京润楚,"外汇分析师
-K
1-3年
本科
南京润楚
南京·建邺区·奥体"
大数据分析工程师,9-14K,南京·浦口区·泰山,"大数据分析工程师
-K
3-5年
本科
五疆发展
南京·浦口区·泰山"
数据分析师,13-25K,南京·玄武区·徐庄软件园,"数据分析师
-K
5-10年
本科
苏宁IT
南京·玄武区·徐庄软件园"
生物信息数据分析工程师,10-15K,南京·浦口区·南京信息工程大学,"生物信息数据分析工程师
-K
1-3年
硕士
科络思生物
南京·浦口区·南京信息工程大学"
供应链数据分析,17-30K14新,南京·秦淮区·光华路,"供应链数据分析
-K·薪
5-10年
本科
运去哪
南京·秦淮区·光华路"
数据分析,7-11K,南京·鼓楼区·龙江,"数据分析
-K
1-3年
本科
江苏平义
南京·鼓楼区·龙江"
大数据分析师,8-13K,南京·江宁区·百家湖,"大数据分析师
-K
1-3年
本科
玖骅信息
南京·江宁区·百家湖"
数据分析,10-15K,南京·建邺区·江东,"数据分析
-K
3-5年
本科
谦程美美
南京·建邺区·江东"
数据分析师,30-50K14新,南京,"数据分析师
-K·薪
3-5年
本科
某大型知名电子商务公司
南京"
数据分析师,6-10K,南京秉谦信息科技,"数据分析师
-K
1-3年
本科
南京秉谦信息科技
南京·江宁区·科学园"
大气环境数据分析师,8-13K14新,南京·雨花台区·铁心桥,"大气环境数据分析师
-K·薪
1年以内
本科
英视睿达
南京·雨花台区·铁心桥"
大数据分析师,10-13K,南京·秦淮区·苜蓿园,"大数据分析师
-K
1-3年
本科
众旺汽修服务有限公司
南京·秦淮区·苜蓿园"
中级需求分析师,1218K,南京君融科技有限公司,"中级需求分析师
-K
5-10年
本科
南京君融科技有限公司
南京"
商业数据分析经理,40-60K,南京,"商业数据分析经理
-K
5-10年
本科
某大型互联网电商平台上市公司
南京"
数据分析师,6-10K,南京爱辉文化传媒...,"数据分析师
-K
1-3年
本科
南京爱辉文化传媒...
南京·玄武区·丹凤街"
数据分析师,5-8K,南京派众,"数据分析师
-K
1年以内
本科
南京派众
南京·浦口区·泰山"
数据挖掘与分析,8-13K,南京·鼓楼区·龙江,"数据挖掘与分析
-K
1-3年
本科
链尚科技
南京·鼓楼区·龙江"
数据分析运营,8-10K,南京一只猩猩商业管理,"数据分析运营
-K
3-5年
本科
南京一只猩猩商业管理
南京·江宁区·东山"
服装商品数据分析,8-10K,南京薏凡特,"服装商品数据分析
-K
3-5年
本科
南京薏凡特
南京·建邺区·江东"
R语言 数据分析主管,9-14K1新,南京·建邺区·中胜,"R语言 数据分析主管
-K·薪
3-5年
本科
德达医药
南京·建邺区·中胜"
大数据高级产品经理,25-45K15新,南京,"大数据高级产品经理
-K·薪
5-10年
本科
某大型头部食用菌/零食零售上市公司
南京"
大数据分析师,8-10K,南京·江宁区·众彩市场,"大数据分析师
-K
1-3年
本科
钛果
南京·江宁区·众彩市场"
数据分析师,13-16K,南京·建邺区·奥体,"数据分析师
-K
3-5年
本科
Datatist
南京·建邺区·奥体"
AI高级财务数据分析师,15-20K1新,深圳龙电华鑫控股,"AI高级财务数据分析师
-K·薪
3-5年
本科
深圳龙电华鑫控股
南京"
电商数据分析专员,4-9K,南京·江宁区·东山,"电商数据分析专员
-K
1-3年
大专
味馋食品科技有限公司
南京·江宁区·东山"
数据分析项目经理,10-15K,南京·秦淮区·五老村,"数据分析项目经理
-K
3-5年
本科
大物移云
南京·秦淮区·五老村"
数据分析师,2035K1薪,南京·雨花台区·软件大道,"数据分析师
-K·薪
在校/应届
硕士
满帮集团
南京·雨花台区·软件大道"
